id;leito;tipo
1;Coordinator Cambridgeshire Investor;cross-platform Borders
2;Libyan Dinar CSS;sensor
3;Alaska;deposit Chips Applications
4;uniform PCI back up;Tactics architectures Planner
5;Facilitator Incredible functionalities;compressing
6;Bedfordshire;Maryland Configuration
7;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire
8;portal calculating Metal;real-time discrete redundant
9;Synergistic Personal Loan Account Sleek;Borders
10;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate
